week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,4.839,1.982,3.5136,2020-12-31
2,4.638,2.056,3.4373,2021-01-07
3,4.599,2.152,3.3794,2021-01-14
4,5.279,2.371,3.549,2021-01-21
5,4.629,1.941,3.4397,2021-01-28
6,4.64,1.757,3.2603,2021-02-04
7,4.612,1.817,3.286,2021-02-11
8,4.763,1.667,3.1493,2021-02-18
9,4.75,1.37,3.1924,2021-02-25
10,4.665,1.874,3.125,2021-03-04
11,4.682,1.628,3.2462,2021-03-11
12,4.347,1.671,3.0034,2021-03-18
13,4.743,1.383,3.0119,2021-03-25
14,4.524,1.422,2.9903,2021-04-01
15,4.227,1.481,2.9887,2021-04-08
16,4.274,1.26,2.9075,2021-04-15
17,4.452,1.248,3.0231,2021-04-22
18,4.926,1.955,3.0799,2021-04-29
19,4.362,1.352,2.9592,2021-05-06
20,4.265,1.813,3.0349,2021-05-13
21,4.598,1.163,2.9135,2021-05-20
22,4.335,1.467,2.9991,2021-05-27
23,4.419,1.461,3.0693,2021-06-03
24,6.459,1.673,3.3382,2021-06-10
25,4.975,2.184,3.5266,2021-06-17
26,4.742,2.18,3.4362,2021-06-24
27,4.873,2.231,3.4908,2021-07-01
28,5.572,2.814,3.9107,2021-07-08
29,5.941,2.95,4.2316,2021-07-15
30,5.499,3.023,4.0514,2021-07-22
31,6.005,2.522,4.0796,2021-07-29
32,6.128,2.199,3.93,2021-08-05
33,6.468,2.826,4.4753,2021-08-12
34,5.92,2.582,3.8985,2021-08-19
35,6.522,2.873,4.1625,2021-08-26
36,6.085,2.907,4.1234,2021-09-02
37,6.414,2.952,4.3201,2021-09-09
38,6.274,1.905,3.7992,2021-09-16
39,5.526,2.699,3.7667,2021-09-23
40,5.318,2.619,3.8087,2021-09-30
41,4.57,1.868,3.3772,2021-10-07
42,4.333,2.02,3.2913,2021-10-14
43,4.57,1.939,3.3066,2021-10-21
44,4.907,2.0,3.3779,2021-10-28
45,4.695,1.701,3.3012,2021-11-04
46,5.026,2.335,3.4402,2021-11-11
47,4.633,2.124,3.3588,2021-11-18
48,4.772,2.056,3.2982,2021-11-25
49,6.287,2.29,3.6005,2021-12-02
50,5.265,1.904,3.738,2021-12-09
51,4.949,1.794,3.6409,2021-12-16
52,4.919,2.287,3.6804,2021-12-23
53,4.867,1.803,3.5086,2021-12-30
54,4.676,2.214,3.501,2022-01-06
55,4.74,2.359,3.4641,2022-01-13
56,4.761,1.929,3.3752,2022-01-20
57,4.659,1.925,3.5031,2022-01-27
58,4.688,1.795,3.3399,2022-02-03
59,4.735,2.119,3.3409,2022-02-10
60,4.886,1.735,3.3174,2022-02-17
61,4.456,1.73,3.1795,2022-02-24
62,4.443,1.768,3.1774,2022-03-03
63,4.523,1.673,3.0933,2022-03-10
64,4.833,1.591,3.1202,2022-03-17
65,4.745,1.13,3.054,2022-03-24
66,4.643,1.828,3.179,2022-03-31
67,5.547,1.717,3.2472,2022-04-07
68,4.478,1.204,2.9054,2022-04-14
69,4.593,1.228,2.884,2022-04-21
70,4.298,1.382,2.8815,2022-04-28
71,4.388,1.562,2.93,2022-05-05
72,4.735,1.521,3.087,2022-05-12
73,4.362,1.353,3.15,2022-05-19
74,4.341,1.109,2.9724,2022-05-26
75,4.622,1.369,3.1774,2022-06-02
76,5.142,1.891,3.3569,2022-06-09
77,5.075,1.37,3.3484,2022-06-16
