week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,25.1,5.6,13.38,801.0,0.0,203.69,100,0,18.52
2,24.2,6.4,15.07,841.0,0.0,236.77,85,0,4.8
3,22.1,5.9,13.01,842.0,0.0,201.18,100,0,49.4
4,14.8,4.1,10.21,703.0,0.0,164.88,100,2,65.66
5,21.9,5.1,12.57,907.0,0.0,246.2,100,0,27.17
6,30.4,6.9,14.86,949.0,0.0,242.36,100,0,29.35
7,30.2,9.9,18.57,966.0,0.0,282.8,100,0,28.33
8,28.1,9.9,17.49,964.0,0.0,281.98,100,0,54.84
9,30.5,9.7,16.71,1008.0,0.0,273.66,100,0,53.38
10,22.5,10.6,15.04,998.0,0.0,200.68,100,0,79.52
11,33.5,8.8,18.51,1011.0,0.0,296.33,100,0,37.33
12,27.2,11.3,17.79,1010.0,0.0,307.67,100,0,41.23
13,24.3,11.1,17.23,995.0,0.0,254.39,100,0,65.8
14,29.4,8.6,17.41,1025.0,0.0,306.48,100,0,41.93
15,29.5,11.3,18.39,1030.0,0.0,324.85,100,0,45.76
16,27.4,11.6,18.41,1016.0,0.0,312.14,100,0,56.76
17,32.0,10.9,20.44,1040.0,0.0,343.8,100,0,31.11
18,37.8,13.9,22.99,998.0,0.0,327.2,100,0,32.12
19,29.4,14.3,21.5,1013.0,0.0,300.02,100,0,47.08
20,30.2,15.0,22.15,1000.0,0.0,312.34,100,0,36.95
21,30.5,14.2,22.78,1009.0,0.0,323.26,100,0,24.12
22,32.2,16.3,23.69,972.0,0.0,316.84,100,0,25.01
23,31.9,16.5,23.04,960.0,0.0,266.93,100,0,71.42
24,35.6,15.4,24.66,990.0,0.0,319.19,100,0,27.21
25,34.5,15.1,22.92,989.0,0.0,314.89,100,0,26.57
26,32.5,17.8,25.24,943.0,0.0,283.19,100,0,22.15
27,28.6,17.2,21.8,922.0,0.0,202.35,100,0,79.09
28,36.8,15.4,25.14,939.0,0.0,280.23,100,0,31.48
29,36.2,15.9,23.74,917.0,0.0,262.83,100,0,43.52
30,35.3,17.1,25.97,895.0,0.0,262.67,100,0,18.68
31,28.8,13.6,21.01,910.0,0.0,260.9,100,0,41.65
32,36.2,16.4,23.66,855.0,0.0,220.88,100,0,48.02
33,35.3,14.0,23.36,861.0,0.0,218.64,100,0,46.9
34,26.5,12.0,18.44,796.0,0.0,161.64,100,0,58.05
35,30.5,7.4,17.82,786.0,0.0,199.63,100,0,13.11
36,24.3,8.9,16.44,727.0,0.0,161.32,100,0,51.08
37,31.9,10.1,18.69,691.0,0.0,175.15,100,0,37.65
38,26.6,10.1,17.4,664.0,0.0,171.98,100,0,35.42
39,33.2,9.8,21.61,656.0,0.0,171.04,100,0,13.2
40,29.5,10.0,17.43,634.0,0.0,145.42,100,0,75.65
41,28.5,9.4,17.97,637.0,0.0,152.25,100,0,11.89
42,26.5,9.1,15.98,601.0,0.0,140.61,100,0,41.24
43,19.2,5.3,12.36,590.0,0.0,94.79,100,0,53.61
44,19.8,4.3,11.14,599.0,0.0,124.49,100,0,38.9
45,19.2,6.2,12.36,534.0,0.0,82.02,100,9,93.43
46,16.0,4.1,10.8,600.0,0.0,101.12,100,0,50.42
47,22.6,5.2,13.21,602.0,0.0,139.21,100,0,44.88
48,24.0,10.8,17.02,609.0,0.0,113.27,100,0,83.66
49,23.4,7.1,14.48,646.0,0.0,155.68,100,0,16.9
50,23.0,5.2,14.11,679.0,0.0,157.86,100,0,42.2
51,27.0,5.7,13.96,718.0,0.0,180.15,100,0,16.06
52,31.0,8.2,20.19,762.0,0.0,205.16,100,0,6.99
53,23.2,4.1,12.61,777.0,0.0,175.86,100,0,39.56
54,27.8,0.9,11.09,820.0,0.0,199.18,100,0,41.23
55,28.3,5.8,14.24,836.0,0.0,206.67,100,0,41.12
56,24.6,4.8,14.2,878.0,0.0,241.05,100,0,12.49
57,27.4,8.8,16.56,891.0,0.0,248.89,100,0,44.29
58,30.0,9.8,18.25,911.0,0.0,244.39,100,0,47.42
59,22.1,9.7,14.75,910.0,0.0,186.22,100,0,76.51
60,35.1,11.4,20.04,970.0,0.0,286.26,100,0,32.27
61,25.4,7.9,15.77,982.0,0.0,298.67,100,0,37.75
62,31.8,8.8,17.23,1012.0,0.0,304.31,100,0,28.36
63,27.0,9.8,17.03,998.0,0.0,301.21,100,0,44.98
64,26.4,9.4,17.68,1001.0,0.0,296.75,100,0,45.49
65,32.8,8.8,19.39,1035.0,0.0,340.27,100,0,21.86
66,22.9,11.1,17.58,993.0,0.0,277.62,100,0,66.3
67,24.9,11.6,17.9,1005.0,0.0,298.73,100,0,57.12
68,26.6,11.9,19.17,1020.0,0.0,321.4,100,0,50.3
69,28.8,12.4,20.74,1003.0,0.0,330.5,100,0,37.98
70,31.5,12.5,20.24,1025.0,0.0,347.48,100,0,24.38
71,34.1,15.4,24.58,1026.0,0.0,334.38,100,0,11.96
72,32.7,15.4,22.54,1002.0,0.0,333.79,100,0,28.02
73,31.0,15.1,22.28,1004.0,0.0,327.21,100,0,35.54
74,29.0,15.1,21.97,976.0,0.0,312.51,100,0,42.2
75,31.6,15.4,22.76,968.0,0.0,310.46,100,0,49.07
76,29.5,15.7,22.74,961.0,0.0,279.3,100,0,65.2
77,34.4,17.9,24.85,961.0,0.0,296.51,100,0,44.55
78,34.7,18.6,25.89,946.0,0.0,303.42,100,0,24.83
79,31.5,16.6,23.56,952.0,0.0,283.55,100,0,30.92
80,30.1,17.1,23.57,920.0,0.0,279.7,100,0,31.23
81,37.9,17.9,28.18,914.0,0.0,263.84,100,0,19.02
82,39.8,19.5,26.61,884.0,0.0,172.79,100,0,65.53
83,26.9,15.4,20.99,874.0,0.0,226.31,100,0,48.4
84,32.6,14.8,23.89,861.0,0.0,246.88,100,0,15.91
85,34.2,14.9,22.95,825.0,0.0,214.99,100,0,43.55
86,28.9,15.2,21.7,717.0,0.0,183.27,100,0,55.06
87,26.0,14.4,20.14,693.0,0.0,141.86,100,0,72.55
88,33.3,9.7,20.74,719.0,0.0,170.68,100,0,30.12
89,28.1,9.4,17.98,714.0,0.0,187.72,100,0,24.92
90,21.7,6.8,14.74,681.0,0.0,148.38,100,0,50.04
91,19.9,5.4,12.7,669.0,0.0,140.74,100,0,36.58
92,24.5,6.5,15.12,676.0,0.0,166.83,100,0,26.34
93,24.0,7.7,15.31,640.0,0.0,151.74,100,0,28.12
94,21.0,7.8,13.69,567.0,0.0,106.4,100,0,76.53
95,17.5,5.0,11.02,592.0,0.0,108.27,100,0,41.67
96,18.6,2.8,10.71,593.0,0.0,137.32,100,0,43.25
97,28.9,4.7,16.01,592.0,0.0,142.73,100,0,27.0
98,21.6,8.6,13.51,482.0,0.0,70.11,100,31,94.24
99,18.7,4.9,12.69,595.0,0.0,102.1,100,0,81.89
100,20.0,6.8,12.2,565.0,0.0,81.9,100,0,88.62
101,16.9,1.9,9.64,655.0,0.0,153.32,100,0,29.48
